이름,url,설명,관리주체,카테고리
통계청,http://kostat.go.kr/,국가 관리 통계 총괄관리 및 제공,통계청,
MDIS,https://mdis.kostat.go.kr/,통계청 41종 및 통계작성기관 33종의 마이크로데이터에 대하여 온라인 통합 서비스,통계청,
서울열린데이터광장,http://data.seoul.go.kr/,서울시 생산 공공데이터 제공,서울시,
경기데이터드림,http://data.gg.go.kr/portal/mainPage.do,경기도가 보유한 공공데이터를 체계화하고 통합·개방,경기도,
통계지리정보서비스,http://sgis.kostat.go.kr/,통계청 데이터를 GIS DB화. 공간통계 형태로 제공,통계청,
국가공간정보유통센터,https://www.nsic.go.kr/ndsi/,"건물, 행정경계, 지형도, 수치도 등 물리적 공간정보 제공",국토교통부,
국가공간정보포탈(오픈마켓),https://market.nsdi.go.kr/,공간 및 위치 정보의 유통 및 판매,국토교통부,
고용행정통계포털,http://statistics.keis.or.kr/stats/index.do,"워크넷, 고용보험, 직업훈련 통계 데이터 제공",한국고용정보원,
공공데이터포털,https://www.data.go.kr,정부기관에서 정보공개를 통해 공개되는 정보제공,안전행정부,
지방자치단체 인허가 데이터,http://www.localdata.kr/,지방자치단체가 보유·관리하고 있는 국민생활과 밀접한 데이터를 개방 및 제공,행정자치부,
기상자료개방포털,https://data.kma.go.kr,기상청 보유 공공데이터 제공,기상청,
재난안전데이터포털,https://data.mpss.go.kr/Portal_new/,재난정보 통합 대국민서비스를 위한 대국민 포털로 개방데이터 및 공공데이터를 통합하여 제공,국민안전처,
농림축산식품 공공데이터 포털,https://data.mafra.go.kr,농림축산 식품 개방 데이터 제공,농림축산식품부,
e-나라지표,http://www.index.go.kr/,정부기관선정핵심지표제공,통계청,
서울통계,http://stat.seoul.go.kr/,서울시 관리 통계 및 서베이 결과 제공,서울시,
국가지표체계,http://www.index.go.kr/potal/main/PotalMain.do,정부기관에서 엄선한 지표들을 통하여 다양한 방면에서의 우리나라 현위치와 통계 데이터 제공,통계청,
서울시정보소통광장,http://opengov.seoul.go.kr/,서울시에서 정보공개를 통해 공개 되는 정보제공,서울시,
관광지식정보시스템,http://www.tour.go.kr/main.asp,국내외관광통계. 관광지별방문객자료가존재,문화체육관광부,
주민등록인구통계,http://rcps.egov.go.kr:8081/jsp/stat/ppl_stat_jf.jsp,안전행정부주민등록인구통계. 월별/성/연령(1세단위),안전행정부,
교육부통계사이트,http://www.mest.go.kr/web/1086/site/contents/ko/ko_0117.jsp,교육부관련통계자료,교육부,
학구도안내서비스,https://schoolzone.edumac.kr/,"초,중,고등학교학군영역관련서비스",교육부,
문화셈터,http://stat.mcst.go.kr/,"문화, 예술, 산업관련통계자료",문화체육관광부,
건축데이터 민간개방 포털,https://open.eais.go.kr/,"건축물대장, 허가, 말소 등 건축행정정보를 제공",국토교통부,
의안정보시스템,http://likms.assembly.go.kr/,국회에서발의/처리/계류되는의안관련데이터,대한민국 국회,
선거통계시스템,http://info.nec.go.kr/,선거관련데이터,중앙선거관리위원회,
철도안전정보포탈,http://www.railsafety.or.kr/web/index.jsp,철도사고및안전관련데이터,국토교통부,
국가교통데이터베이스,http://www.ktdb.go.kr/web/guest/home,교통전반데이터,한국교통연구원,
GBIS,http://www.gbis.go.kr/,경기도버스정보시스템,경기도,
고속도로 공공데이터 포털,http://data.ex.co.kr/,"교통량, 통행속도, 고속도로 휴게소 현황 등 고속도로 관련 데이터 제공",한국도로공사,
지방공기업경영정보시스템,http://www.cleaneye.go.kr/Programs/User/nportal/main/index.asp,,,
보건의료빅데이터,http://opendata.hira.or.kr/op/opc/selectOpenDataList.do,건강보험심사평가원에서 개방하고 있는 공공데이터를 확인 및 이용,건강보험심사평가원,